2.93,132.83,62.97
2.94,322.36,77.81
5.24,262.22,75.88
6.34,918.12,82.83
2.12,74.79,58.78
3.78,518.00,76.35
2.65,659.35,75.91
1.93,715.87,74.27
6.32,1400.43,82.63
8.73,1396.83,81.10
1.23,395.62,72.02
3.55,942.25,72.85
3.15,713.32,76.62
7.87,62.31,71.23
4.74,599.55,78.72
3.74,380.52,73.19
8.25,1137.12,80.80
3.88,141.22,73.78
2.25,38.42,60.35
2.62,60.71,70.05
4.57,134.93,69.89
6.81,315.98,76.72
3.19,231.45,66.27
3.83,766.55,74.75
2.49,113.43,75.19
4.61,563.53,74.45
2.59,41.25,59.45
3.97,30.27,59.67
1.25,130.03,68.27
9.39,96.67,57.08
7.41,1228.32,81.93
3.56,94.25,71.89
1.98,56.68,52.79
3.85,929.75,79.50
3.10,262.39,75.63
5.41,289.61,76.32
2.22,94.81,63.21
4.21,50.69,62.58
6.77,343.85,79.40
1.68,108.78,55.51
6.39,235.37,77.72
10.57,260.87,78.52
3.33,1171.62,80.18
6.26,430.90,78.49
1.60,15.17,58.83
9.16,772.59,80.34
6.75,32.32,63.17
3.77,213.87,74.06
2.93,398.35,73.00
4.51,476.10,75.92
2.16,368.06,71.12
4.47,186.33,72.18
2.93,574.98,57.00
1.53,42.91,64.20
05.03,432.00,77.40
7.00,177.16,53.57
2.87,35.46,64.55
2.95,103.51,67.03
7.29,834.93,81.00
09.02,1371.75,82.11
2.35,173.87,64.32
05.05,25.74,60.67
1.55,494.06,72.71
8.70,1193.59,80.64
2.13,80.88,62.42
4.99,875.94,81.36
2.83,330.91,72.50
2.33,259.41,72.94
2.74,63.86,59.02
1.15,93.62,56.56
3.12,151.82,69.05
1.56,47.36,62.07
4.42,185.89,74.28
4.88,601.80,75.72
7.18,735.36,82.36
1.41,155.48,68.29
01.08,209.34,70.48
2.84,607.19,75.50
3.34,277.30,69.7
5.14,1438.31,81.08
4.75,909.77,82.18
6.99,788.88,82.65
2.81,172.14,74.04
8.55,669.33,83.67
5.19,197.76,73.97
2.37,208.65,70.48
3.50,66.64,64.14
8.29,6.23,67.00
2.61,344.70,75.02
3.64,138.90,70.63
9.43,69.92,66.14
3.72,522.71,74.49
03.04,503.52,78.73
08.08,43.66,49.89
3.16,68.21,61.72
4.45,578.96,74.56
5.82,799.29,81.44
1.47,24.90,65.13
6.00,16.69,61.04
2.30,444.57,75.27
10.76,402.49,77.36
1.96,31.64,57.04
6.74,1211.70,81.72
14.45,88.80,72.52
1.87,91.04,63.65
2.36,578.93,74.35
3.26,475.05,74.91
12.43,10.19,67.15
5.30,204.42,71.27
3.84,672.71,85.41
2.62,184.86,68.86
2.00,238.77,75.48
3.94,15.17,56.06
01.04,137.17,65.38
5.36,413.84,61.43
2.87,79.13,59.70
2.34,100.42,69.17
9.48,1686.74,81.56
09.08,782.38,81.56
5.10,148.46,73.43
2.39,32.32,60.07
9.23,149.73,52.67
4.10,296.85,75.30
8.31,911.04,81.79
3.19,151.42,76.63
9.19,86.04,66.36
6.53,623.43,72.56
5.88,543.81,77.58
3.47,7.33,63.18
4.50,396.71,73.47
3.32,247.46,75.53
1.61,203.09,70.48
4.51,488.46,77.58
6.16,877.48,81.00
1.88,410.39,79.65
4.47,218.20,75.27
3.69,514.79,71.02
2.87,26.91,66.88
2.14,679.50,75.31
3.60,331.67,75.44
4.39,174.25,72.01
6.54,43.59,72.55
5.74,70.13,84.18
3.61,34.12,69.05
3.49,786.61,74.53
2.42,76.97,66.37
6.42,556.94,75.10
3.11,354.00,73.14
1.88,143.18,52.37
02.05,1824.37,82.67
5.84,407.89,76.60
6.62,773.94,80.47
4.64,2.51,71.90
4.24,454.08,61.97
3.99,978.68,81.80
6.40,905.54,82.80
1.96,219.25,76.15
1.80,168.87,64.17
2.94,448.33,71.13
10.02,829.50,82.12
1.98,115.15,69.87
2.59,27.75,62.29
3.21,138.65,75.75
1.33,21.29,68.20
02.02,59.22,59.58
4.27,44.50,70.43
3.17,850.70,72.77
3.97,326.15,75.73
4.19,233.34,76.17
1.35,605.77,67.55
16.40,18.05,66.09
1.80,53.60,60.67
3.60,304.95,71.28
2.64,700.07,77.10
7.58,823.26,80.98
6.11,588.09,77.24
3.11,148.81,70.67
4.51,12.53,69.72
1.54,683.73,72.76
3.82,178.07,75.06
1.27,151.68,66.07
2.76,26.83,60.83
2.37,99.51,58.41
